"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"Ribosomal large subunit pseudouridine synthase C","","Ribosomal large subunit pseudouridine synthase C","9","9","1","32","1983","","","","1043","1043","1043","GEGEGB_01828","LNHIMF_01219","BEJGEH_01907","HFCAGB_02111","AJBGEP_01186","ODDLKH_01590","IKCLMC_00828","PKJKAM_00557","ONMMKP_00949"
"Glutaredoxin 2","","Glutaredoxin 2","9","9","1","32","2004","","","","599","647","641","GEGEGB_01851","LNHIMF_01198","BEJGEH_01928","HFCAGB_02132","AJBGEP_01165","ODDLKH_01569","IKCLMC_00807","PKJKAM_00578","ONMMKP_00970"
"yceB","","Uncharacterized lipoprotein YceB","9","9","1","32","2005","","","","560","626","567","GEGEGB_01852","LNHIMF_01197","BEJGEH_01929","HFCAGB_02133","AJBGEP_01164","ODDLKH_01568","IKCLMC_00806","PKJKAM_00579","ONMMKP_00971"
"group_1115","Dihydroorotase","Dihydroorotase","9","9","1","32","2006","","","","1046","1046","1046","GEGEGB_01853","LNHIMF_01196","BEJGEH_01930","HFCAGB_02134","AJBGEP_01163","ODDLKH_01567","IKCLMC_00805","PKJKAM_00580","ONMMKP_00972"
"Damage-inducible protein","","Damage-inducible protein","9","9","1","32","2007","","","","245","245","245","GEGEGB_01854","LNHIMF_01195","BEJGEH_01931","HFCAGB_02135","AJBGEP_01162","ODDLKH_01566","IKCLMC_00804","PKJKAM_00581","ONMMKP_00973"
"N-methyl-L-tryptophan oxidase","","N-methyl-L-tryptophan oxidase","9","9","1","32","2009","","","","1118","1118","1118","GEGEGB_01856","LNHIMF_01193","BEJGEH_01933","HFCAGB_02137","AJBGEP_01160","ODDLKH_01564","IKCLMC_00802","PKJKAM_00583","ONMMKP_00975"
"csgD","","DNA-binding transcriptional regulator CsgD","9","9","1","32","2027","","","","626","650","647","GEGEGB_01875","LNHIMF_01174","BEJGEH_01952","HFCAGB_02156","AJBGEP_01141","ODDLKH_01545","IKCLMC_00783","PKJKAM_00602","ONMMKP_00994"
"fimA","","type 1 fimbrial protein subunit FimA","9","9","1","32","1394","","","","518","557","552","GEGEGB_02436","LNHIMF_00552","BEJGEH_00557","HFCAGB_00571","AJBGEP_00566","ODDLKH_01032","IKCLMC_02301","PKJKAM_03185","ONMMKP_01608"
"group_1120","hypothetical protein","hypothetical protein","9","9","1","32","1962","","","","167","167","167","GEGEGB_01900","LNHIMF_01150","BEJGEH_01022","HFCAGB_01166","AJBGEP_01117","ODDLKH_01521","IKCLMC_00613","PKJKAM_00628","ONMMKP_01018"
"scsD","","ScsD family copper-sensitivity suppressor","9","9","1","32","1958","","","","506","506","506","GEGEGB_01904","LNHIMF_01146","BEJGEH_01018","HFCAGB_01162","AJBGEP_01113","ODDLKH_01517","IKCLMC_00609","PKJKAM_00632","ONMMKP_01022"
"Secreted protein, suppressor for copper-sensitivity C","","Secreted protein, suppressor for copper-sensitivity C","9","9","1","32","1957","","","","623","623","623","GEGEGB_01905","LNHIMF_01145","BEJGEH_01017","HFCAGB_01161","AJBGEP_01112","ODDLKH_01516","IKCLMC_00608","PKJKAM_00633","ONMMKP_01023"
"Copper resistance protein","","Copper resistance protein","9","9","1","32","1955","","","","362","362","362","GEGEGB_01907","LNHIMF_01143","BEJGEH_01015","HFCAGB_01159","AJBGEP_01110","ODDLKH_01514","IKCLMC_00606","PKJKAM_00636","ONMMKP_01025"
"4-nitrophenol 2-monooxygenase, oxygenase component","","4-nitrophenol 2-monooxygenase, oxygenase component","9","9","1","32","1940","","","","1232","1562","1525","GEGEGB_01921","LNHIMF_01129","BEJGEH_01002","HFCAGB_01145","AJBGEP_01096","ODDLKH_01500","IKCLMC_00592","PKJKAM_00650","ONMMKP_01039"
"5-hydroxyisourate hydrolase","","5-hydroxyisourate hydrolase","9","9","1","32","1938","","","","410","410","410","GEGEGB_01923","LNHIMF_01127","BEJGEH_01000","HFCAGB_01143","AJBGEP_01094","ODDLKH_01498","IKCLMC_00590","PKJKAM_00652","ONMMKP_01041"
"hprR","","Response regulator transcription factor HprR","9","9","1","32","1937","","","","737","737","737","GEGEGB_01924","LNHIMF_01126","BEJGEH_00999","HFCAGB_01142","AJBGEP_01093","ODDLKH_01497","IKCLMC_00589","PKJKAM_00653","ONMMKP_01042"
"Dipeptidase","","Dipeptidase","9","9","1","32","1935","","","","1469","1562","1541","GEGEGB_01926","LNHIMF_01124","BEJGEH_00997","HFCAGB_01140","AJBGEP_01091","ODDLKH_01495","IKCLMC_00587","PKJKAM_00655","ONMMKP_01044"
"sopB","","SPI-1 type III secretion system effector inositol phosphate phosphatase SopB","9","9","1","32","1933","","","","1685","1685","1685","GEGEGB_01927","LNHIMF_01122","BEJGEH_00995","HFCAGB_01138","AJBGEP_01089","ODDLKH_01493","IKCLMC_00585","PKJKAM_00657","ONMMKP_01046"
"Kinase inhibitor","","Kinase inhibitor","9","9","1","32","1921","","","","437","548","535","GEGEGB_01943","LNHIMF_01112","BEJGEH_00985","HFCAGB_01128","AJBGEP_01079","ODDLKH_01483","IKCLMC_00575","PKJKAM_00667","ONMMKP_01056"
"ushA","","Protein UshA","9","9","1","32","1342","","","","854","1652","1399","GEGEGB_02487","LNHIMF_00520","BEJGEH_00506","HFCAGB_00520","AJBGEP_00515","ODDLKH_00981","IKCLMC_02250","PKJKAM_03236","ONMMKP_01659"
"Putative peptidoglycan binding domain protein","","Putative peptidoglycan binding domain protein","9","9","1","32","1843","","","","1841","1850","1846","GEGEGB_02042","LNHIMF_01082","BEJGEH_00952","HFCAGB_01039","AJBGEP_00987","ODDLKH_01450","IKCLMC_01555","PKJKAM_00127","ONMMKP_01149"
"mukB","","Chromosome partition protein MukB","9","9","1","32","1842","","","","3980","4466","4410","GEGEGB_02043","LNHIMF_01081","BEJGEH_00951","HFCAGB_01038","AJBGEP_00986","ODDLKH_01449","IKCLMC_01554","PKJKAM_00126","ONMMKP_01150"
"UPF0434 protein Nmul_A1027","","UPF0434 protein Nmul_A1027","9","9","1","32","1835","","","","182","182","182","GEGEGB_02050","LNHIMF_01074","BEJGEH_00944","HFCAGB_01031","AJBGEP_00979","ODDLKH_01442","IKCLMC_01547","PKJKAM_00943","ONMMKP_01157"
"ycaL","","Metalloprotease YcaL","9","9","1","32","1827","","","","761","761","761","GEGEGB_02059","LNHIMF_01066","BEJGEH_00936","HFCAGB_01023","AJBGEP_00971","ODDLKH_01434","IKCLMC_01539","PKJKAM_00951","ONMMKP_01165"
"ycaO","","Ribosomal protein S12 methylthiotransferase accessory factor YcaO","9","9","1","32","1823","","","","1760","1835","1810","GEGEGB_02063","LNHIMF_01062","BEJGEH_00932","HFCAGB_01019","AJBGEP_00967","ODDLKH_01430","IKCLMC_01535","PKJKAM_00955","ONMMKP_01169"
"Pirin family protein","","Pirin family protein","9","9","1","32","1800","","","","860","860","860","GEGEGB_02087","LNHIMF_01039","BEJGEH_00910","HFCAGB_00996","AJBGEP_00944","ODDLKH_01407","IKCLMC_01512","PKJKAM_00978","ONMMKP_01192"
"Hybrid-cluster NAD(P)-dependent oxidoreductase","","Hybrid-cluster NAD(P)-dependent oxidoreductase","9","9","1","32","955","","","","968","968","968","GEGEGB_02101","LNHIMF_01027","BEJGEH_00893","HFCAGB_00983","AJBGEP_00928","ODDLKH_01393","IKCLMC_01498","PKJKAM_00991","ONMMKP_01207"
"rcdA","","HTH-type transcriptional regulator RcdA","9","9","1","32","926","","","","560","620","613","GEGEGB_02131","LNHIMF_00997","BEJGEH_00863","HFCAGB_00953","AJBGEP_00898","ODDLKH_01363","IKCLMC_01468","PKJKAM_01021","ONMMKP_01237"
"ybjI","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","9","9","1","32","924","","","","815","815","815","GEGEGB_02133","LNHIMF_00995","BEJGEH_00861","HFCAGB_00951","AJBGEP_00896","ODDLKH_01361","IKCLMC_01466","PKJKAM_01023","ONMMKP_01239"
"undecaprenyl-diphosphate phosphatase","","undecaprenyl-diphosphate phosphatase","9","9","1","32","922","","","","674","674","674","GEGEGB_02135","LNHIMF_00993","BEJGEH_00859","HFCAGB_00949","AJBGEP_00894","ODDLKH_01359","IKCLMC_01464","PKJKAM_01025","ONMMKP_01241"
"serine-type D-Ala-D-Ala carboxypeptidase","","serine-type D-Ala-D-Ala carboxypeptidase","9","9","1","32","920","","","","1070","1202","1128","GEGEGB_02137","LNHIMF_00991","BEJGEH_00857","HFCAGB_00947","AJBGEP_00892","ODDLKH_01357","IKCLMC_01462","PKJKAM_01027","ONMMKP_01243"
"bssR","","Biofilm regulator BssR","9","9","1","32","1559","","","","383","383","383","GEGEGB_02140","LNHIMF_00979","BEJGEH_00854","HFCAGB_00934","AJBGEP_00880","ODDLKH_01344","IKCLMC_01449","PKJKAM_01040","ONMMKP_01256"
"ybiR","","Inner membrane protein YbiR","9","9","1","32","1577","","","","1034","1112","1103","GEGEGB_02155","LNHIMF_00964","BEJGEH_00837","HFCAGB_00916","AJBGEP_00863","ODDLKH_01327","IKCLMC_01432","PKJKAM_01058","ONMMKP_01275"
"rhtA","","Threonine/homoserine exporter RhtA","9","9","1","32","1583","","","","860","887","884","GEGEGB_02163","LNHIMF_00959","BEJGEH_00832","HFCAGB_00911","AJBGEP_00858","ODDLKH_01322","IKCLMC_01427","PKJKAM_01063","ONMMKP_01280"
"Ribosomal RNA large subunit methyltransferase F","","Ribosomal RNA large subunit methyltransferase F","9","9","1","32","1590","","","","743","926","905","GEGEGB_02169","LNHIMF_00953","BEJGEH_00826","HFCAGB_00905","AJBGEP_00852","ODDLKH_01316","IKCLMC_01421","PKJKAM_01069","ONMMKP_01286"
"Integral membrane protein","","Integral membrane protein","9","9","1","32","1619","","","","341","704","663","GEGEGB_02189","LNHIMF_00936","BEJGEH_00807","HFCAGB_00886","AJBGEP_00831","ODDLKH_01298","IKCLMC_01396","PKJKAM_01087","ONMMKP_01304"
"acrZ","","Multidrug efflux pump accessory protein AcrZ","9","9","1","32","1690","","","","149","251","160","GEGEGB_02217","LNHIMF_00910","BEJGEH_00781","HFCAGB_00860","AJBGEP_00805","ODDLKH_01272","IKCLMC_01370","PKJKAM_01113","ONMMKP_01373"
"abrB","","Putative regulator AbrB","9","9","1","32","1739","","","","1046","1046","1046","GEGEGB_02257","LNHIMF_00868","BEJGEH_00729","HFCAGB_00810","AJBGEP_00753","ODDLKH_01220","IKCLMC_00401","PKJKAM_00415","ONMMKP_01425"
"Endonuclease 8","","Endonuclease 8","9","9","1","32","1744","","","","791","791","791","GEGEGB_02258","LNHIMF_00867","BEJGEH_00728","HFCAGB_00809","AJBGEP_00752","ODDLKH_01219","IKCLMC_00402","PKJKAM_00414","ONMMKP_01426"
"5-oxoprolinase subunit A","","5-oxoprolinase subunit A","9","9","1","32","1756","","","","734","734","734","GEGEGB_02273","LNHIMF_00854","BEJGEH_00727","HFCAGB_00808","AJBGEP_00739","ODDLKH_01206","IKCLMC_00415","PKJKAM_00413","ONMMKP_01439"
"Dipeptide permease D","","Dipeptide permease D","9","9","1","32","1760","","","","1481","1523","1485","GEGEGB_02277","LNHIMF_00850","BEJGEH_00723","HFCAGB_00804","AJBGEP_00735","ODDLKH_01202","IKCLMC_00419","PKJKAM_00409","ONMMKP_01443"
"Periplasmic protein","","Periplasmic protein","9","9","1","32","1762","","","","206","206","206","GEGEGB_02279","LNHIMF_00848","BEJGEH_00721","HFCAGB_00802","AJBGEP_00733","ODDLKH_01200","IKCLMC_00421","PKJKAM_00407","ONMMKP_01445"
"Potassium-transporting ATPase ATP-binding subunit","","Potassium-transporting ATPase ATP-binding subunit","9","9","1","32","1764","","","","1709","2048","2010","GEGEGB_02281","LNHIMF_00846","BEJGEH_00719","HFCAGB_00800","AJBGEP_00731","ODDLKH_01198","IKCLMC_00423","PKJKAM_00405","ONMMKP_01447"
"kdpC","","potassium-transporting ATPase subunit KdpC","9","9","1","32","1765","","","","584","584","584","GEGEGB_02282","LNHIMF_00845","BEJGEH_00718","HFCAGB_00799","AJBGEP_00730","ODDLKH_01197","IKCLMC_00424","PKJKAM_00404","ONMMKP_01448"
"group_1174","Cytoplasmic protein","Cytoplasmic protein","9","9","1","32","1773","","","","485","485","485","GEGEGB_02290","LNHIMF_00839","BEJGEH_00712","HFCAGB_00794","AJBGEP_00724","ODDLKH_01191","IKCLMC_00430","PKJKAM_00398","ONMMKP_01454"
"copG","","Ribbon-helix-helix protein CopG domain-containing protein","9","9","1","32","1777","","","","281","293","291","GEGEGB_02294","LNHIMF_00835","BEJGEH_00708","HFCAGB_00790","AJBGEP_00720","ODDLKH_01187","IKCLMC_00434","PKJKAM_00394","ONMMKP_01458"
"tcuR","","tricarballylate utilization LysR family transcriptional regulator TcuR","9","9","1","32","1780","","","","353","926","862","GEGEGB_02297","LNHIMF_00831","BEJGEH_00705","HFCAGB_00787","AJBGEP_00717","ODDLKH_01184","IKCLMC_00437","PKJKAM_00333","ONMMKP_01461"
"Apolipoprotein N-acyltransferase","","Apolipoprotein N-acyltransferase","9","9","1","32","1528","","","","1589","1589","1589","GEGEGB_02321","LNHIMF_00804","BEJGEH_00677","HFCAGB_00760","AJBGEP_00691","ODDLKH_01158","IKCLMC_02480","PKJKAM_00357","ONMMKP_01485"
"rihA","","Pyrimidine-specific ribonucleoside hydrolase RihA","9","9","1","32","1523","","","","935","935","935","GEGEGB_02327","LNHIMF_00798","BEJGEH_00671","HFCAGB_00754","AJBGEP_00685","ODDLKH_01152","IKCLMC_02474","PKJKAM_00363","ONMMKP_01491"
"Hydrolase C-terminus","","Hydrolase C-terminus","9","9","1","32","1511","","","","1166","1250","1240","GEGEGB_02332","LNHIMF_00794","BEJGEH_00660","HFCAGB_00742","AJBGEP_00674","ODDLKH_01141","IKCLMC_02463","PKJKAM_00374","ONMMKP_01502"
"araJ","","Putative transporter AraJ","9","9","1","32","1231","","","","605","1172","1094","GEGEGB_02598","LNHIMF_00421","BEJGEH_00403","HFCAGB_00416","AJBGEP_00413","ODDLKH_00879","IKCLMC_02147","PKJKAM_03339","ONMMKP_01761"
"Adenosylcobalamin/alpha-ribazole phosphatase","","Adenosylcobalamin/alpha-ribazole phosphatase","9","9","1","32","1504","","","","608","641","611","GEGEGB_02339","LNHIMF_00787","BEJGEH_00653","HFCAGB_00735","AJBGEP_00667","ODDLKH_01134","IKCLMC_02456","PKJKAM_00381","ONMMKP_01509"
"Lipoyl synthase","","Lipoyl synthase","9","9","1","32","1493","","","","263","965","887","GEGEGB_02349","LNHIMF_00777","BEJGEH_00643","HFCAGB_00725","AJBGEP_00657","ODDLKH_01123","IKCLMC_02446","PKJKAM_03041","ONMMKP_01519"
"[Citrate [pro-3S]-lyase] ligase","","[Citrate [pro-3S]-lyase] ligase","9","9","1","32","1484","","","","1025","1076","1070","GEGEGB_02358","LNHIMF_00767","BEJGEH_00633","HFCAGB_00716","AJBGEP_00648","ODDLKH_01113","IKCLMC_02437","PKJKAM_03050","ONMMKP_01528"
"group_1183","4Fe-4S ferredoxin-type domain-containing protein","4Fe-4S ferredoxin-type domain-containing protein","9","9","1","32","1471","","","","359","557","535","GEGEGB_02370","LNHIMF_00755","BEJGEH_00621","HFCAGB_00702","AJBGEP_00636","ODDLKH_01101","IKCLMC_02425","PKJKAM_03062","ONMMKP_01540"
"dsbG","","Thiol:disulfide interchange protein DsbG","9","9","1","32","1464","","","","746","746","746","GEGEGB_02378","LNHIMF_00749","BEJGEH_00615","HFCAGB_00695","AJBGEP_00630","ODDLKH_01095","IKCLMC_02419","PKJKAM_03068","ONMMKP_01546"
"ybdN","","Uncharacterized protein YbdN","9","9","1","32","1462","","","","1235","1235","1235","GEGEGB_02380","LNHIMF_00747","BEJGEH_00613","HFCAGB_00693","AJBGEP_00628","ODDLKH_01093","IKCLMC_02417","PKJKAM_03070","ONMMKP_01548"
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase","","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase","9","9","1","32","1454","","","","755","755","755","GEGEGB_02387","LNHIMF_00740","BEJGEH_00606","HFCAGB_00685","AJBGEP_00621","ODDLKH_01086","IKCLMC_02410","PKJKAM_03077","ONMMKP_01555"
"ybdZ","","Enterobactin biosynthesis protein YbdZ","9","9","1","32","1442","","","","218","218","218","GEGEGB_02399","LNHIMF_00729","BEJGEH_00595","HFCAGB_00674","AJBGEP_00610","ODDLKH_01075","IKCLMC_02399","PKJKAM_03088","ONMMKP_01566"
"Iron(III) enterobactin esterase","","Iron(III) enterobactin esterase","9","9","1","32","1441","","","","1214","1214","1214","GEGEGB_02400","LNHIMF_00728","BEJGEH_00594","HFCAGB_00673","AJBGEP_00609","ODDLKH_01074","IKCLMC_02398","PKJKAM_03089","ONMMKP_01567"
"ybdJ","","Uncharacterized protein YbdJ","9","9","1","32","1437","","","","248","248","248","GEGEGB_02404","LNHIMF_00724","BEJGEH_00590","HFCAGB_00669","AJBGEP_00605","ODDLKH_01070","IKCLMC_02394","PKJKAM_03093","ONMMKP_01571"
"fimW","","helix-turn-helix transcriptional regulator","9","9","1","32","1412","","","","596","596","596","GEGEGB_02427","LNHIMF_00560","BEJGEH_00566","HFCAGB_00580","AJBGEP_00575","ODDLKH_01040","IKCLMC_02310","PKJKAM_03176","ONMMKP_01600"
"fimD","","usher protein FimD","9","9","1","32","1397","","","","2540","2612","2604","GEGEGB_02433","LNHIMF_00555","BEJGEH_00560","HFCAGB_00575","AJBGEP_00569","ODDLKH_01035","IKCLMC_02304","PKJKAM_03182","ONMMKP_01605"
"fimI","","type 1 fimbrial protein subunit FimI","9","9","1","32","1395","","","","377","533","515","GEGEGB_02435","LNHIMF_00553","BEJGEH_00558","HFCAGB_00573","AJBGEP_00567","ODDLKH_01033","IKCLMC_02302","PKJKAM_03184","ONMMKP_01607"
"Membrane-bound metal-dependent hydrolase","","Membrane-bound metal-dependent hydrolase","9","9","1","32","1390","","","","545","548","545","GEGEGB_02439","LNHIMF_00549","BEJGEH_00554","HFCAGB_00568","AJBGEP_00563","ODDLKH_01029","IKCLMC_02298","PKJKAM_03188","ONMMKP_01611"
"N5-carboxyaminoimidazole ribonucleotide mutase","","N5-carboxyaminoimidazole ribonucleotide mutase","9","9","1","32","1384","","","","509","509","509","GEGEGB_02443","LNHIMF_00543","BEJGEH_00548","HFCAGB_00562","AJBGEP_00557","ODDLKH_01023","IKCLMC_02292","PKJKAM_03194","ONMMKP_01617"
"fetA","","putative iron export ATP-binding protein FetA","9","9","1","32","1351","","","","677","677","677","GEGEGB_02478","LNHIMF_00529","BEJGEH_00515","HFCAGB_00529","AJBGEP_00524","ODDLKH_00990","IKCLMC_02259","PKJKAM_03227","ONMMKP_01650"
"cueR","","HTH-type transcriptional regulator CueR","9","9","1","32","1348","","","","416","416","416","GEGEGB_02481","LNHIMF_00526","BEJGEH_00512","HFCAGB_00526","AJBGEP_00521","ODDLKH_00987","IKCLMC_02256","PKJKAM_03230","ONMMKP_01653"
"ybaP","","Uncharacterized protein YbaP","9","9","1","32","1345","","","","794","794","794","GEGEGB_02484","LNHIMF_00523","BEJGEH_00509","HFCAGB_00523","AJBGEP_00518","ODDLKH_00984","IKCLMC_02253","PKJKAM_03233","ONMMKP_01656"
"gsk","","inosine/guanosine kinase","9","9","1","32","1337","","","","1304","1349","1339","GEGEGB_02492","LNHIMF_00516","BEJGEH_00503","HFCAGB_00516","AJBGEP_00511","ODDLKH_00977","IKCLMC_02246","PKJKAM_03240","ONMMKP_01663"
"Phosphonoacetaldehyde hydrolase","","Phosphonoacetaldehyde hydrolase","9","9","1","32","1270","","","","809","809","809","GEGEGB_02557","LNHIMF_00458","BEJGEH_00440","HFCAGB_00456","AJBGEP_00452","ODDLKH_00918","IKCLMC_02186","PKJKAM_03300","ONMMKP_01722"
"DUF3251 domain-containing protein","","DUF3251 domain-containing protein","9","9","1","32","1252","","","","539","539","539","GEGEGB_02575","LNHIMF_00440","BEJGEH_00422","HFCAGB_00438","AJBGEP_00434","ODDLKH_00900","IKCLMC_02168","PKJKAM_03318","ONMMKP_01740"
"Small toxic polypeptide LdrA/LdrC","","Small toxic polypeptide LdrA/LdrC","9","9","1","32","1250","","","","107","263","193","GEGEGB_02577","LNHIMF_00437","BEJGEH_00419","HFCAGB_00435","AJBGEP_00432","ODDLKH_00897","IKCLMC_02165","PKJKAM_03320","ONMMKP_01742"
"stbE","","fimbrial biogenesis chaperone StbE","9","9","1","32","1166","","","","758","758","758","GEGEGB_02657","LNHIMF_00364","BEJGEH_00345","HFCAGB_00356","AJBGEP_00356","ODDLKH_00822","IKCLMC_02089","PKJKAM_03396","ONMMKP_01821"
"Nuclease SbcCD subunit D","","Nuclease SbcCD subunit D","9","9","1","32","1233","","","","1202","1202","1202","GEGEGB_02596","LNHIMF_00423","BEJGEH_00405","HFCAGB_00418","AJBGEP_00415","ODDLKH_00881","IKCLMC_02149","PKJKAM_03337","ONMMKP_01759"
"yaiA","","Uncharacterized protein YaiA","9","9","1","32","1223","","","","191","191","191","GEGEGB_02605","LNHIMF_00416","BEJGEH_00398","HFCAGB_00411","AJBGEP_00408","ODDLKH_00874","IKCLMC_02142","PKJKAM_03344","ONMMKP_01767"
"Extensin-like C-terminal domain-containing protein","","Extensin-like C-terminal domain-containing protein","9","9","1","32","1215","","","","683","683","683","GEGEGB_02613","LNHIMF_00408","BEJGEH_00390","HFCAGB_00402","AJBGEP_00400","ODDLKH_00866","IKCLMC_02134","PKJKAM_03352","ONMMKP_01775"
"DUF2754 domain-containing protein","","DUF2754 domain-containing protein","9","9","1","32","1213","","","","215","215","215","GEGEGB_02615","LNHIMF_00406","BEJGEH_00388","HFCAGB_00400","AJBGEP_00398","ODDLKH_00864","IKCLMC_02132","PKJKAM_03354","ONMMKP_01777"
"bifunctional 2-methylcitrate dehydratase/aconitate hydratase","","bifunctional 2-methylcitrate dehydratase/aconitate hydratase","9","9","1","32","1202","","","","1451","1451","1451","GEGEGB_02624","LNHIMF_00397","BEJGEH_00379","HFCAGB_00391","AJBGEP_00389","ODDLKH_00855","IKCLMC_02122","PKJKAM_03363","ONMMKP_01786"
"DUF2474 domain-containing protein","","DUF2474 domain-containing protein","9","9","1","32","1194","","","","131","131","131","GEGEGB_02632","LNHIMF_00389","BEJGEH_00371","HFCAGB_00382","AJBGEP_00381","ODDLKH_00847","IKCLMC_02114","PKJKAM_03371","ONMMKP_01794"
"ydiV","","Anti-FlhC(2)FlhD(4) factor YdiV","9","9","1","32","1174","","","","1574","1574","1574","GEGEGB_02648","LNHIMF_00371","BEJGEH_00352","HFCAGB_00363","AJBGEP_00363","ODDLKH_00829","IKCLMC_02096","PKJKAM_03389","ONMMKP_01814"
"Exported protein","","Exported protein","9","9","1","32","1173","","","","266","500","474","GEGEGB_02650","LNHIMF_00370","BEJGEH_00351","HFCAGB_00362","AJBGEP_00362","ODDLKH_00828","IKCLMC_02095","PKJKAM_03390","ONMMKP_01815"
"Gamma-glutamyl phosphate reductase","","Gamma-glutamyl phosphate reductase","9","9","1","32","1148","","","","1247","1250","1249","GEGEGB_02660","LNHIMF_00348","BEJGEH_00331","HFCAGB_00340","AJBGEP_00342","ODDLKH_00809","IKCLMC_02076","PKJKAM_03413","ONMMKP_01836"
